Value,Count,BPS_CODE,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,R,G,B,RED,GREEN,BLUE
1863,1326775.000000000000000,14730,Gulf and Atlantic Coastal Plain Floodplain Systems,114,-9999,101,54,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
1864,1109129.000000000000000,14740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,477,202,131,68,171,185,235,0.670588000000000,0.725490000000000,0.921569000000000
1865,152441.000000000000000,14790,Central Interior and Appalachian Swamp Systems,1011,-9999,1353,578,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1866,5473268.000000000000000,14800,Gulf and Atlantic Coastal Plain Swamp Systems,-9999,-9999,221,221,102,212,179,0.400000000000000,0.831373000000000,0.701961000000000
1867,2575383.000000000000000,14900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,5,294,-9999,5,255,235,0,1.000000000000000,0.921569000000000,0.000000000000000
1868,28065.000000000000000,14980,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,-9999,-9999,-9999,-9999,171,97,56,0.670588000000000,0.380392000000000,0.219608000000000
1869,1099568.000000000000000,15010,Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,92,424,-9999,76,99,214,255,0.388235000000000,0.839216000000000,1.000000000000000
1870,66823915.000000000000000,13030,Northeastern Interior Dry-Mesic Oak Forest,39,24,9,6,215,185,100,0.843137000000000,0.725490000000000,0.392157000000000
1871,86049.000000000000000,13150,Southern Appalachian Oak Forest,604,138,16,14,181,227,194,0.709804000000000,0.890196000000000,0.760784000000000
1872,797945.000000000000000,13160,Southern Piedmont Mesic Forest,510,348,52,42,99,199,125,0.388235000000000,0.780392000000000,0.490196000000000
1873,3232780.000000000000000,13170,Allegheny-Cumberland Dry Oak Forest and Woodland,123,59,15,11,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000
