"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","SI_FRG"
"102",1233,1671,2131001,14690,39,"14690_31_39_40_43","Eastern Great Plains Floodplain Systems","Riparian",517,77,176,48,9,63,28,"III-A",75,170,190,0.294118,0.666667,0.745098,"Intermediate"
"103",1234,1672,489394,14820,39,"14820_39_40","Great Plains Prairie Pothole","Grassland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",156,100,163,0.611765,0.392157,0.639216,"Intermediate"
"104",1527,1965,391122,13100,52,"13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588,"Frequent"
"105",1528,1966,19934,13110,52,"13110_52","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,151,11,9,6,6,88,"I-B",179,207,143,0.701961,0.811765,0.560784,"Frequent"
"106",1529,1967,773799,13130,52,"13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,-9999,852,465,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,"Rare"
"107",1530,1968,15090,13940,52,"13940_52","North-Central Interior Oak Savanna","Hardwood",552,187,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,"Frequent"
"108",1531,1969,223190,13950,52,"13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196,"Frequent"
"109",1532,1970,17457,14110,52,"14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,-9999,-9999,24,100,-9999,-9999,"II-C",235,255,0,0.921569,1,0,"Frequent"
"110",1534,1972,237,14210,52,"14210_49_52","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,"Frequent"
"111",1535,1973,50448,14710,52,"14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,426,68,59,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,"Intermediate"
"112",1536,1974,618116,14790,52,"14790_52_62","Central Interior and Appalachian Swamp Systems","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,"Rare"
"113",1537,1975,53622,14920,52,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,"NA"
"114",1538,1976,12185,14930,52,"14930_52_62","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,"Frequent"
"115",1539,1977,72649,15180,52,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,-9999,-9999,993,100,-9999,-9999,"V-B",211,237,38,0.827451,0.929412,0.14902,"Rare"
"116",1579,2017,1885348,13100,49,"13100_49","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588,"Frequent"
"117",1580,2018,27679,13110,49,"13110_49","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,149,11,9,7,6,87,"I-B",179,207,143,0.701961,0.811765,0.560784,"Frequent"
"118",1581,2019,29954,13130,49,"13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,-9999,852,465,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,"Rare"
"119",1582,2020,59432,13140,49,"13140_49","North-Central Interior Maple-Basswood Forest","Hardwood",1030,-9999,845,464,45,-9999,55,"V-A",237,161,102,0.929412,0.631373,0.4,"Rare"
"120",1586,2024,240,13940,49,"13940_44_49","North-Central Interior Oak Savanna","Hardwood",550,189,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,"Frequent"
"121",1589,2027,215,14110,49,"14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,-9999,-9999,24,100,-9999,-9999,"II-C",235,255,0,0.921569,1,0,"Frequent"
"122",1590,2028,596,14120,49,"14120_49","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,"Frequent"
"123",1591,2029,1741801,14210,49,"14210_49_52","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,"Frequent"
"124",1593,2031,83795,14660,49,"14660_49","Great Lakes Wooded Dune and Swale","Riparian",2663,533,-9999,444,17,83,-9999,"V-A",181,0,0,0.709804,0,0,"Rare"
"125",1595,2033,41315,14710,49,"14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,426,68,59,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,"Intermediate"
